LineCondition,SubjectNumber,Block,Trial,Time,Key,Exp,Error,Condition
Long,1,1,1,1676,0,0,1,3
Long,1,1,2,908,0,0,1,1
Long,1,1,3,764,1,1,1,2
Long,1,1,4,576,1,1,1,1
Long,1,1,5,650,1,1,1,1
Long,1,1,6,764,0,0,1,1
Long,1,1,7,1234,0,0,1,2
Long,1,1,8,1050,0,0,1,3
Long,1,1,9,866,1,1,1,3
Long,1,1,10,756,0,0,1,1
Long,1,1,11,700,1,1,1,3
Long,1,1,12,1024,0,0,1,3
Long,1,1,13,742,1,1,1,3
Long,1,1,14,1584,1,1,1,3
Long,1,1,15,762,1,1,1,1
Long,1,1,16,744,1,1,1,2
Long,1,1,17,784,1,1,1,2
Long,1,1,18,1258,0,0,1,3
Long,1,1,19,1094,0,0,1,2
Long,1,1,20,954,0,0,1,2
Long,1,1,21,822,0,0,1,3
Long,1,1,22,902,0,0,1,1
Long,1,1,23,886,0,0,1,1
Long,1,1,24,640,1,1,1,2
Long,1,1,25,586,1,1,1,1
Long,1,1,26,906,0,0,1,2
Long,1,1,27,842,1,1,1,2
Long,1,1,28,942,0,0,1,2
Long,1,1,29,722,1,1,1,3
Long,1,1,30,636,1,1,1,1
Long,1,2,1,1008,1,1,1,2
Long,1,2,2,620,0,0,1,1
Long,1,2,3,714,1,1,1,3
Long,1,2,4,862,0,0,1,2
Long,1,2,5,650,1,1,1,2
Long,1,2,6,748,1,1,1,2
Long,1,2,7,628,1,1,1,2
Long,1,2,8,672,1,1,1,1
Long,1,2,9,946,0,0,1,2
Long,1,2,10,918,0,0,1,3
Long,1,2,11,604,0,0,1,1
Long,1,2,12,980,0,0,1,2
Long,1,2,13,506,1,1,1,1
Long,1,2,14,812,0,0,1,2
Long,1,2,15,812,1,1,1,1
Long,1,2,16,798,0,0,1,2
Long,1,2,17,584,1,1,1,1
Long,1,2,18,592,0,0,1,1
Long,1,2,19,720,0,0,1,1
Long,1,2,20,556,1,1,1,1
Long,1,2,21,928,0,0,1,3
Long,1,2,22,692,1,1,1,2
Long,1,2,23,1010,1,1,1,3
Long,1,2,24,942,1,1,1,3
Long,1,2,25,810,0,0,1,3
Long,1,2,26,948,0,0,1,3
Long,1,2,27,856,0,0,1,3
Long,1,2,28,740,0,0,1,1
Long,1,2,29,700,1,1,1,3
Long,1,2,30,696,1,1,1,3
Long,1,3,1,860,1,1,1,2
Long,1,3,2,544,1,1,1,1
Long,1,3,3,726,0,0,1,2
Long,1,3,4,656,1,1,1,1
Long,1,3,5,1050,1,1,1,3
Long,1,3,6,650,1,1,1,2
Long,1,3,7,972,0,0,1,3
Long,1,3,8,814,0,0,1,2
Long,1,3,9,1144,0,0,1,3
Long,1,3,10,670,1,1,1,1
Long,1,3,11,894,0,0,1,3
Long,1,3,12,902,0,1,0,3
Long,1,3,13,792,0,0,1,2
Long,1,3,14,572,0,0,1,1
Long,1,3,15,644,1,1,1,1
Long,1,3,16,560,1,1,1,2
Long,1,3,17,602,1,1,1,2
Long,1,3,18,738,0,0,1,1
Long,1,3,19,890,1,1,1,3
Long,1,3,20,1108,0,0,1,2
Long,1,3,21,638,0,0,1,1
Long,1,3,22,698,1,1,1,3
Long,1,3,23,598,1,1,1,2
Long,1,3,24,638,1,1,1,1
Long,1,3,25,920,0,0,1,2
Long,1,3,26,686,0,0,1,1
Long,1,3,27,684,0,0,1,1
Long,1,3,28,1322,1,1,1,3
Long,1,3,29,1224,0,0,1,3
Long,1,3,30,798,0,0,1,3
Long,1,4,1,704,1,1,1,2
Long,1,4,2,1020,1,1,1,2
Long,1,4,3,704,0,0,1,1
Long,1,4,4,558,0,0,1,1
Long,1,4,5,1144,1,1,1,3
Long,1,4,6,528,1,1,1,1
Long,1,4,7,670,1,1,1,1
Long,1,4,8,600,1,1,1,1
Long,1,4,9,1014,1,1,1,3
Long,1,4,10,1186,0,0,1,3
Long,1,4,11,670,1,1,1,2
Long,1,4,12,940,0,0,1,2
Long,1,4,13,1280,0,0,1,3
Long,1,4,14,682,0,0,1,1
Long,1,4,15,952,0,0,1,2
Long,1,4,16,684,1,1,1,2
Long,1,4,17,818,1,1,1,1
Long,1,4,18,892,0,0,1,3
Long,1,4,19,678,1,1,1,3
Long,1,4,20,958,0,0,1,3
Long,1,4,21,576,0,0,1,1
Long,1,4,22,666,1,1,1,1
Long,1,4,23,578,1,1,1,3
Long,1,4,24,740,0,0,1,1
Long,1,4,25,996,1,1,1,2
Long,1,4,26,724,0,0,1,2
Long,1,4,27,846,0,0,1,3
Long,1,4,28,1108,1,1,1,3
Long,1,4,29,1000,0,0,1,2
Long,1,4,30,774,0,0,1,2
Long,1,5,1,580,0,0,1,1
Long,1,5,2,644,0,0,1,3
Long,1,5,3,608,0,0,1,1
Long,1,5,4,550,0,0,1,1
Long,1,5,5,610,0,0,1,2
Long,1,5,6,872,1,1,1,3
Long,1,5,7,714,1,1,1,2
Long,1,5,8,998,1,1,1,3
Long,1,5,9,684,1,1,1,1
Long,1,5,10,1434,1,1,1,2
Long,1,5,11,1284,0,0,1,2
Long,1,5,12,884,0,0,1,3
Long,1,5,13,646,0,0,1,1
Long,1,5,14,648,1,1,1,2
Long,1,5,15,842,0,1,0,2
Long,1,5,16,1208,0,0,1,2
Long,1,5,17,1488,1,1,1,3
Long,1,5,18,918,1,1,1,2
Long,1,5,19,998,1,1,1,3
Long,1,5,20,1060,0,0,1,3
Long,1,5,21,988,1,1,1,1
Long,1,5,22,1158,0,0,1,3
Long,1,5,23,644,0,0,1,1
Long,1,5,24,830,0,0,1,2
Long,1,5,25,1278,1,1,1,3
Long,1,5,26,880,1,1,1,1
Long,1,5,27,1106,0,0,1,3
Long,1,5,28,598,1,1,1,1
Long,1,5,29,558,1,1,1,1
Long,1,5,30,1058,0,0,1,2
Long,2,1,1,1864,0,0,1,3
Long,2,1,2,2046,1,1,1,1
Long,2,1,3,2554,0,1,0,3
Long,2,1,4,2234,0,0,1,2
Long,2,1,5,738,1,1,1,1
Long,2,1,6,2282,1,0,0,3
Long,2,1,7,2296,1,1,1,2
Long,2,1,8,1362,0,0,1,1
Long,2,1,9,2642,0,0,1,3
Long,2,1,10,946,1,1,1,1
Long,2,1,11,3822,0,0,1,2
Long,2,1,12,1572,1,1,1,2
Long,2,1,13,2656,1,1,1,3
Long,2,1,14,1838,0,0,1,1
Long,2,1,15,4678,1,1,1,3
Long,2,1,16,3078,0,0,1,3
Long,2,1,17,2728,0,0,1,2
Long,2,1,18,1520,1,1,1,3
Long,2,1,19,1242,1,1,1,2
Long,2,1,20,2558,0,0,1,2
Long,2,1,21,1382,0,0,1,1
Long,2,1,22,1012,1,1,1,2
Long,2,1,23,2914,0,0,1,1
Long,2,1,24,3190,0,0,1,3
Long,2,1,25,1326,0,0,1,1
Long,2,1,26,850,1,1,1,1
Long,2,1,27,3208,1,1,1,3
Long,2,1,28,782,1,1,1,1
Long,2,1,29,1944,0,0,1,2
Long,2,1,30,1944,1,1,1,2
Long,2,2,1,3206,0,0,1,1
Long,2,2,2,1116,1,1,1,1
Long,2,2,3,2502,1,1,1,2
Long,2,2,4,2422,1,1,1,2
Long,2,2,5,3858,0,0,1,2
Long,2,2,6,3310,0,0,1,2
Long,2,2,7,1610,0,0,1,1
Long,2,2,8,3586,0,0,1,2
Long,2,2,9,4178,0,0,1,3
Long,2,2,10,930,1,1,1,2
Long,2,2,11,1176,1,1,1,1
Long,2,2,12,1068,1,1,1,3
Long,2,2,13,1036,1,1,1,3
Long,2,2,14,3304,0,0,1,3
Long,2,2,15,1924,0,0,1,1
Long,2,2,16,1588,0,0,1,3
Long,2,2,17,2780,0,0,1,2
Long,2,2,18,2436,0,0,1,3
Long,2,2,19,1832,0,0,1,2
Long,2,2,20,1226,1,1,1,2
Long,2,2,21,1074,1,1,1,1
Long,2,2,22,2432,1,1,1,3
Long,2,2,23,1812,1,1,1,3
Long,2,2,24,1872,0,0,1,1
Long,2,2,25,894,1,1,1,1
Long,2,2,26,824,1,1,1,2
Long,2,2,27,4904,0,0,1,3
Long,2,2,28,1128,1,1,1,1
Long,2,2,29,3250,1,1,1,3
Long,2,2,30,1300,0,0,1,1
Long,2,3,1,2682,0,0,1,2
Long,2,3,2,1764,1,1,1,3
Long,2,3,3,2574,0,0,1,2
Long,2,3,4,838,1,1,1,3
Long,2,3,5,4030,0,0,1,3
Long,2,3,6,1200,0,0,1,1
Long,2,3,7,722,1,1,1,2
Long,2,3,8,1846,1,1,1,3
Long,2,3,9,2836,0,0,1,3
Long,2,3,10,630,1,1,1,1
Long,2,3,11,764,1,1,1,1
Long,2,3,12,778,1,1,1,2
Long,2,3,13,3468,0,0,1,3
Long,2,3,14,1544,0,0,1,2
Long,2,3,15,2662,0,0,1,3
Long,2,3,16,1780,1,1,1,2
Long,2,3,17,1162,1,1,1,1
Long,2,3,18,1984,0,0,1,3
Long,2,3,19,986,1,1,1,1
Long,2,3,20,1762,1,1,1,2
Long,2,3,21,2708,0,0,1,2
Long,2,3,22,1898,1,1,1,3
Long,2,3,23,822,1,1,1,1
Long,2,3,24,2510,0,0,1,1
Long,2,3,25,2402,0,0,1,2
Long,2,3,26,1594,0,0,1,1
Long,2,3,27,1188,0,0,1,1
Long,2,3,28,872,1,1,1,2
Long,2,3,29,1124,1,1,1,3
Long,2,3,30,1406,0,0,1,1
Long,2,4,1,2204,0,0,1,3
Long,2,4,2,1360,0,0,1,3
Long,2,4,3,1010,1,1,1,3
Long,2,4,4,1630,0,0,1,3
Long,2,4,5,980,0,0,1,1
Long,2,4,6,860,1,1,1,1
Long,2,4,7,944,0,0,1,2
Long,2,4,8,1204,0,1,0,3
Long,2,4,9,1924,1,1,1,3
Long,2,4,10,1588,0,0,1,1
Long,2,4,11,3070,1,1,1,2
Long,2,4,12,1450,0,0,1,3
Long,2,4,13,1762,1,1,1,2
Long,2,4,14,2114,1,1,1,2
Long,2,4,15,4024,0,0,1,3
Long,2,4,16,682,1,1,1,1
Long,2,4,17,632,1,1,1,2
Long,2,4,18,2052,0,0,1,2
Long,2,4,19,2984,0,0,1,2
Long,2,4,20,1302,0,0,1,1
Long,2,4,21,822,1,1,1,1
Long,2,4,22,3254,0,0,1,2
Long,2,4,23,1832,1,1,1,3
Long,2,4,24,914,1,1,1,2
Long,2,4,25,2888,1,1,1,1
Long,2,4,26,1022,0,0,1,1
Long,2,4,27,1690,0,0,1,1
Long,2,4,28,762,1,1,1,3
Long,2,4,29,2434,0,0,1,2
Long,2,4,30,776,1,1,1,1
Long,2,5,1,1010,1,1,1,2
Long,2,5,2,814,1,1,1,1
Long,2,5,3,808,1,1,1,3
Long,2,5,4,914,0,0,1,1
Long,2,5,5,2274,0,0,1,3
Long,2,5,6,1142,1,1,1,3
Long,2,5,7,2372,1,1,1,3
Long,2,5,8,686,1,1,1,2
Long,2,5,9,1054,1,1,1,2
Long,2,5,10,936,1,1,1,1
Long,2,5,11,1004,1,1,1,3
Long,2,5,12,1810,0,0,1,2
Long,2,5,13,1942,1,1,1,1
Long,2,5,14,1172,0,0,1,1
Long,2,5,15,1344,0,0,1,1
Long,2,5,16,796,0,0,1,1
Long,2,5,17,1518,0,0,1,3
Long,2,5,18,1552,0,0,1,2
Long,2,5,19,734,1,1,1,2
Long,2,5,20,2862,0,0,1,3
Long,2,5,21,3230,0,0,1,3
Long,2,5,22,1474,0,0,1,2
Long,2,5,23,800,1,1,1,1
Long,2,5,24,1266,1,1,1,1
Long,2,5,25,1526,0,0,1,3
Long,2,5,26,2190,1,1,1,2
Long,2,5,27,1778,0,0,1,2
Long,2,5,28,2048,0,1,0,3
Long,2,5,29,2460,0,0,1,2
Long,2,5,30,2374,0,0,1,1
Long,3,1,1,1604,0,0,1,2
Long,3,1,2,804,1,1,1,3
Long,3,1,3,918,1,1,1,2
Long,3,1,4,1076,0,0,1,1
Long,3,1,5,1506,0,0,1,2
Long,3,1,6,1374,1,1,1,3
Long,3,1,7,798,1,1,1,1
Long,3,1,8,2178,0,0,1,2
Long,3,1,9,848,0,0,1,1
Long,3,1,10,1230,1,1,1,1
Long,3,1,11,1420,0,0,1,3
Long,3,1,12,936,0,0,1,1
Long,3,1,13,1166,1,1,1,2
Long,3,1,14,1066,1,1,1,2
Long,3,1,15,748,1,1,1,3
Long,3,1,16,764,1,1,1,1
Long,3,1,17,954,0,0,1,2
Long,3,1,18,924,0,0,1,2
Long,3,1,19,1146,1,1,1,2
Long,3,1,20,1194,1,1,1,2
Long,3,1,21,1890,0,0,1,1
Long,3,1,22,1110,0,0,1,1
Long,3,1,23,1568,0,0,1,3
Long,3,1,24,870,1,1,1,3
Long,3,1,25,818,1,1,1,1
Long,3,1,26,1314,0,0,1,3
Long,3,1,27,1394,0,0,1,3
Long,3,1,28,1376,0,0,1,3
Long,3,1,29,3192,1,1,1,1
Long,3,1,30,1968,1,1,1,3
Long,3,2,1,1102,0,0,1,1
Long,3,2,2,1970,1,1,1,1
Long,3,2,3,1422,0,0,1,2
Long,3,2,4,1922,0,0,1,2
Long,3,2,5,1732,0,0,1,3
Long,3,2,6,1248,1,1,1,2
Long,3,2,7,902,1,1,1,2
Long,3,2,8,1012,0,0,1,3
Long,3,2,9,874,1,1,1,1
Long,3,2,10,934,0,0,1,2
Long,3,2,11,1732,1,1,1,1
Long,3,2,12,4152,1,1,1,2
Long,3,2,13,950,1,1,1,1
Long,3,2,14,1826,1,1,1,3
Long,3,2,15,1108,0,0,1,1
Long,3,2,16,952,0,0,1,2
Long,3,2,17,884,1,1,1,1
Long,3,2,18,1926,1,1,1,3
Long,3,2,19,1422,0,0,1,3
Long,3,2,20,1080,0,0,1,3
Long,3,2,21,846,0,0,1,1
Long,3,2,22,972,1,1,1,2
Long,3,2,23,870,0,0,1,2
Long,3,2,24,986,1,1,1,3
Long,3,2,25,1538,0,0,1,1
Long,3,2,26,1210,1,1,1,3
Long,3,2,27,2626,0,0,1,3
Long,3,2,28,2484,1,1,1,3
Long,3,2,29,1002,0,0,1,1
Long,3,2,30,888,1,1,1,2
Long,3,3,1,1478,0,0,1,1
Long,3,3,2,1082,0,0,1,1
Long,3,3,3,1392,0,0,1,2
Long,3,3,4,3382,0,0,1,3
Long,3,3,5,732,1,1,1,2
Long,3,3,6,1100,1,1,1,2
Long,3,3,7,2090,0,0,1,2
Long,3,3,8,874,1,1,1,2
Long,3,3,9,1294,0,0,1,2
Long,3,3,10,862,1,1,1,1
Long,3,3,11,1050,1,1,1,2
Long,3,3,12,946,1,1,1,1
Long,3,3,13,1398,1,1,1,3
Long,3,3,14,1860,1,1,1,3
Long,3,3,15,1316,1,1,1,1
Long,3,3,16,1402,0,0,1,3
Long,3,3,17,942,1,1,1,3
Long,3,3,18,1322,1,1,1,2
Long,3,3,19,856,1,1,1,1
Long,3,3,20,2484,0,0,1,3
Long,3,3,21,2318,1,1,1,1
Long,3,3,22,2118,0,0,1,3
Long,3,3,23,1730,0,0,1,1
Long,3,3,24,1048,0,0,1,2
Long,3,3,25,1408,1,1,1,3
Long,3,3,26,1348,0,0,1,2
Long,3,3,27,1574,1,1,1,3
Long,3,3,28,1276,0,0,1,1
Long,3,3,29,846,0,0,1,1
Long,3,3,30,1556,0,0,1,3
Long,3,4,1,3600,0,0,1,3
Long,3,4,2,864,1,1,1,1
Long,3,4,3,1794,0,0,1,3
Long,3,4,4,928,1,1,1,1
Long,3,4,5,1190,1,1,1,3
Long,3,4,6,888,0,0,1,2
Long,3,4,7,1298,0,0,1,2
Long,3,4,8,706,0,0,1,1
Long,3,4,9,2182,0,0,1,3
Long,3,4,10,734,0,0,1,1
Long,3,4,11,896,1,1,1,2
Long,3,4,12,1658,1,1,1,2
Long,3,4,13,1414,0,0,1,1
Long,3,4,14,946,1,1,1,3
Long,3,4,15,820,0,0,1,2
Long,3,4,16,724,0,0,1,1
Long,3,4,17,712,1,1,1,2
Long,3,4,18,6204,1,1,1,3
Long,3,4,19,1842,0,0,1,3
Long,3,4,20,1164,0,0,1,2
Long,3,4,21,1544,1,1,1,3
Long,3,4,22,1216,1,1,1,1
Long,3,4,23,1600,0,0,1,1
Long,3,4,24,1160,1,1,1,3
Long,3,4,25,2398,1,1,1,2
Long,3,4,26,2062,0,0,1,3
Long,3,4,27,2912,1,1,1,1
Long,3,4,28,1148,0,0,1,2
Long,3,4,29,1482,1,1,1,1
Long,3,4,30,872,1,1,1,2
Long,3,5,1,1854,0,0,1,1
Long,3,5,2,3012,1,1,1,3
Long,3,5,3,2182,0,0,1,1
Long,3,5,4,788,1,1,1,1
Long,3,5,5,784,1,1,1,1
Long,3,5,6,1652,0,0,1,2
Long,3,5,7,2280,0,0,1,2
Long,3,5,8,996,1,1,1,2
Long,3,5,9,1076,0,0,1,1
Long,3,5,10,1234,0,0,1,3
Long,3,5,11,1560,0,0,1,3
Long,3,5,12,860,0,0,1,3
Long,3,5,13,826,1,1,1,2
Long,3,5,14,802,0,0,1,2
Long,3,5,15,820,1,1,1,2
Long,3,5,16,1190,0,0,1,3
Long,3,5,17,890,1,1,1,3
Long,3,5,18,1458,1,1,1,1
Long,3,5,19,2840,0,0,1,3
Long,3,5,20,1052,1,1,1,1
Long,3,5,21,1358,1,1,1,3
Long,3,5,22,1312,1,1,1,3
Long,3,5,23,1526,1,1,1,2
Long,3,5,24,1590,0,0,1,1
Long,3,5,25,3000,1,1,1,1
Long,3,5,26,1106,0,0,1,2
Long,3,5,27,2432,0,0,1,1
Long,3,5,28,1420,0,0,1,2
Long,3,5,29,1102,1,1,1,3
Long,3,5,30,850,1,1,1,2
Long,4,1,1,974,1,1,1,2
Long,4,1,2,704,1,1,1,1
Long,4,1,3,846,0,0,1,1
Long,4,1,4,578,0,0,1,1
Long,4,1,5,1076,1,1,1,3
Long,4,1,6,1018,1,1,1,3
Long,4,1,7,1486,0,0,1,3
Long,4,1,8,604,1,1,1,1
Long,4,1,9,642,1,1,1,3
Long,4,1,10,1004,0,0,1,2
Long,4,1,11,1052,1,1,1,2
Long,4,1,12,788,0,0,1,1
Long,4,1,13,1280,0,0,1,3
Long,4,1,14,2068,0,0,1,3
Long,4,1,15,940,0,0,1,1
Long,4,1,16,616,0,0,1,1
Long,4,1,17,822,1,1,1,2
Long,4,1,18,782,1,1,1,3
Long,4,1,19,586,1,1,1,2
Long,4,1,20,1178,0,0,1,2
Long,4,1,21,926,1,1,1,1
Long,4,1,22,1252,0,0,1,2
Long,4,1,23,1160,0,0,1,3
Long,4,1,24,750,0,0,1,2
Long,4,1,25,790,1,1,1,2
Long,4,1,26,674,1,1,1,3
Long,4,1,27,912,0,0,1,3
Long,4,1,28,896,0,0,1,2
Long,4,1,29,648,1,1,1,1
Long,4,1,30,514,1,1,1,1
Long,4,2,1,602,0,0,1,1
Long,4,2,2,610,1,1,1,2
Long,4,2,3,480,1,1,1,1
Long,4,2,4,916,0,0,1,3
Long,4,2,5,874,0,0,1,2
Long,4,2,6,860,0,0,1,3
Long,4,2,7,584,0,0,1,1
Long,4,2,8,754,0,0,1,2
Long,4,2,9,450,0,0,1,1
Long,4,2,10,712,0,0,1,3
Long,4,2,11,540,1,1,1,3
Long,4,2,12,834,0,0,1,2
Long,4,2,13,984,1,1,1,3
Long,4,2,14,888,0,0,1,2
Long,4,2,15,1178,0,0,1,1
Long,4,2,16,664,1,1,1,3
Long,4,2,17,624,1,1,1,2
Long,4,2,18,1068,1,1,1,2
Long,4,2,19,996,0,0,1,3
Long,4,2,20,858,0,0,1,2
Long,4,2,21,1358,0,0,1,3
Long,4,2,22,696,0,0,1,1
Long,4,2,23,724,1,1,1,1
Long,4,2,24,678,1,1,1,2
Long,4,2,25,948,0,1,0,3
Long,4,2,26,808,1,1,1,3
Long,4,2,27,690,1,1,1,1
Long,4,2,28,552,1,1,1,1
Long,4,2,29,652,1,1,1,2
Long,4,2,30,716,1,1,1,1
Long,4,3,1,928,0,0,1,3
Long,4,3,2,756,1,1,1,2
Long,4,3,3,684,0,0,1,1
Long,4,3,4,1028,1,1,1,3
Long,4,3,5,614,0,0,1,1
Long,4,3,6,1004,1,1,1,3
Long,4,3,7,690,0,0,1,2
Long,4,3,8,1040,1,1,1,2
Long,4,3,9,882,0,0,1,2
Long,4,3,10,1220,0,0,1,3
Long,4,3,11,1124,0,0,1,3
Long,4,3,12,1478,0,0,1,3
Long,4,3,13,1004,0,0,1,2
Long,4,3,14,682,1,1,1,2
Long,4,3,15,584,1,1,1,2
Long,4,3,16,1306,0,0,1,3
Long,4,3,17,672,1,1,1,1
Long,4,3,18,1064,1,1,1,3
Long,4,3,19,720,1,1,1,2
Long,4,3,20,586,1,1,1,1
Long,4,3,21,994,0,0,1,2
Long,4,3,22,626,1,1,1,1
Long,4,3,23,1046,0,0,1,2
Long,4,3,24,1192,0,1,0,3
Long,4,3,25,922,1,1,1,1
Long,4,3,26,514,1,1,1,1
Long,4,3,27,898,0,0,1,1
Long,4,3,28,938,0,0,1,1
Long,4,3,29,606,0,0,1,1
Long,4,3,30,556,1,1,1,3
Long,4,4,1,1000,0,0,1,3
Long,4,4,2,958,0,0,1,3
Long,4,4,3,792,1,1,1,2
Long,4,4,4,534,1,1,1,1
Long,4,4,5,1018,0,0,1,2
Long,4,4,6,888,0,0,1,1
Long,4,4,7,578,1,1,1,1
Long,4,4,8,570,0,0,1,1
Long,4,4,9,772,1,1,1,2
Long,4,4,10,644,0,0,1,1
Long,4,4,11,740,1,1,1,3
Long,4,4,12,964,0,0,1,3
Long,4,4,13,808,0,1,0,3
Long,4,4,14,1394,0,0,1,2
Long,4,4,15,848,1,1,1,2
Long,4,4,16,1244,0,0,1,2
Long,4,4,17,1618,0,0,1,3
Long,4,4,18,722,1,1,1,2
Long,4,4,19,1030,0,0,1,2
Long,4,4,20,568,1,1,1,1
Long,4,4,21,812,0,0,1,1
Long,4,4,22,1012,1,1,1,3
Long,4,4,23,704,1,1,1,2
Long,4,4,24,646,0,0,1,1
Long,4,4,25,824,0,0,1,2
Long,4,4,26,1050,0,0,1,3
Long,4,4,27,682,1,1,1,3
Long,4,4,28,600,1,1,1,3
Long,4,4,29,774,1,1,1,1
Long,4,4,30,636,1,1,1,1
Long,4,5,1,780,0,0,1,1
Long,4,5,2,872,0,0,1,2
Long,4,5,3,732,0,0,1,2
Long,4,5,4,678,0,0,1,1
Long,4,5,5,1372,0,0,1,3
Long,4,5,6,700,1,1,1,1
Long,4,5,7,720,1,1,1,3
Long,4,5,8,1092,0,0,1,3
Long,4,5,9,664,0,0,1,2
Long,4,5,10,1016,0,0,1,3
Long,4,5,11,844,1,1,1,2
Long,4,5,12,602,1,1,1,1
Long,4,5,13,584,1,1,1,1
Long,4,5,14,800,0,0,1,2
Long,4,5,15,828,0,0,1,2
Long,4,5,16,554,0,0,1,1
Long,4,5,17,632,1,1,1,2
Long,4,5,18,556,1,1,1,2
Long,4,5,19,750,0,0,1,1
Long,4,5,20,590,0,1,0,2
Long,4,5,21,880,0,0,1,1
Long,4,5,22,928,1,1,1,3
Long,4,5,23,672,1,1,1,1
Long,4,5,24,936,0,0,1,3
Long,4,5,25,748,1,1,1,3
Long,4,5,26,820,1,1,1,3
Long,4,5,27,1150,1,1,1,3
Long,4,5,28,862,1,1,1,2
Long,4,5,29,1170,0,0,1,3
Long,4,5,30,734,1,1,1,1
Long,5,1,1,1442,0,0,1,1
Long,5,1,2,2388,0,0,1,3
Long,5,1,3,1382,1,1,1,2
Long,5,1,4,1790,0,0,1,2
Long,5,1,5,1516,1,1,1,2
Long,5,1,6,2230,1,1,1,3
Long,5,1,7,1872,0,0,1,3
Long,5,1,8,1772,0,0,1,3
Long,5,1,9,1078,1,1,1,3
Long,5,1,10,1964,1,1,1,2
Long,5,1,11,1400,0,0,1,1
Long,5,1,12,830,1,1,1,3
Long,5,1,13,1254,0,0,1,1
Long,5,1,14,818,0,0,1,1
Long,5,1,15,2052,0,0,1,2
Long,5,1,16,966,1,1,1,1
Long,5,1,17,1000,1,1,1,1
Long,5,1,18,824,1,1,1,1
Long,5,1,19,1968,0,0,1,3
Long,5,1,20,1948,1,1,1,3
Long,5,1,21,1138,1,1,1,2
Long,5,1,22,1330,1,1,1,1
Long,5,1,23,2078,0,0,1,2
Long,5,1,24,2456,0,0,1,1
Long,5,1,25,5218,1,1,1,3
Long,5,1,26,2884,0,0,1,2
Long,5,1,27,1212,1,1,1,1
Long,5,1,28,2226,0,0,1,3
Long,5,1,29,2244,0,0,1,2
Long,5,1,30,1172,1,1,1,2
Long,5,2,1,2098,1,1,1,2
Long,5,2,2,848,1,1,1,1
Long,5,2,3,1238,0,0,1,2
Long,5,2,4,990,0,0,1,1
Long,5,2,5,1150,0,0,1,1
Long,5,2,6,1806,1,1,1,2
Long,5,2,7,2474,0,0,1,3
Long,5,2,8,1842,0,1,0,3
Long,5,2,9,2498,0,0,1,2
Long,5,2,10,2080,0,0,1,1
